Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,153270767,08/12/2024 16:42,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,200.00,0,"SC CC-FSA 64260413",0,00:00:00:00,,,,,,,,,,,,
,150632784,11/03/2023 04:06,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-4214.49,0,"Wire-FSA 54624763",0,00:00:00:00,,,,,,,,,,,,
,150483086,10/23/2023 04:31,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-2000.00,0,"Wire-FSA 54229109",0,00:00:00:00,,,,,,,,,,,,
,150211081,09/29/2023 03:57,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-761.00,0,"TrustPayments-FSA 53403755",0,00:00:00:00,,,,,,,,,,,,
,149687118,08/15/2023 04:48,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-2000.00,0,"Wire-FSA 51947095",0,00:00:00:00,,,,,,,,,,,,
,149631750,08/10/2023 04:36,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-839.00,0,"SC CC-FSA 51821678",0,00:00:00:00,,,,,,,,,,,,
,149580140,08/07/2023 09:15,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-200.00,0,"SC CC-FSA 51714855",0,00:00:00:00,,,,,,,,,,,,
,149501721,08/01/2023 12:09,08/07/2023 02:40,GBPAUD,Sell,0.200,0.00000,0.00000,1.93246,1.94050,0.0000,-3.8200,-80.4,-109.49,-1.08,"",0,05:14:31:17,9.9,13h 19m,181.2,3.01,45.2,59.212,-136.0,-178.16,24.9,30.7,-125.60,-164.54
,147958865,04/14/2023 19:00,08/07/2023 02:40,GBPAUD,Sell,0.140,0.00000,1.82840,1.85252,1.94050,0.0000,-31.3200,-879.8,-840.74,-7.67,"",0,114:07:39:53,0.0,0s,879.8,909.09,0.0,0.0,-879.8,-809.4159999999999,0.0,0.0,-879.80,-809.42
,149439380,07/27/2023 09:43,08/07/2023 02:40,GBPAUD,Sell,0.200,0.00000,0.00000,1.90437,1.94047,0.0000,-4.9600,-361.0,-479.43,-4.19,"",0,10:16:57:07,0.7,1h 47m,440.0,18.05,23.1,30.261000000000003,-416.9,-546.139,5.3,12.7,-384.10,-503.17
