Date,asset,open,high,low,close,tick_volume,spread,real_volume
2007-10-15,AAPL.NAS,23.997,24.224,23.357,23.854,1592,0,0
2007-10-16,AAPL.NAS,23.631,24.311,23.598,24.225,833,0,0
2007-10-17,AAPL.NAS,24.67,24.714,24.169,24.679,1082,0,0
2007-10-18,AAPL.NAS,24.5,24.884,24.436,24.786,611,0,0
2007-10-19,AAPL.NAS,24.88,24.947,24.286,24.331,774,0,0
2007-10-22,AAPL.NAS,24.307,24.986,24.286,24.909,799,0,0
2007-10-23,AAPL.NAS,26.929,26.942,26.11,26.595,1331,0,0
2007-10-24,AAPL.NAS,26.55,26.744,25.607,26.561,2264,0,0
2007-10-25,AAPL.NAS,26.407,26.554,25.953,26.111,907,0,0
2007-10-26,AAPL.NAS,26.429,26.479,26.126,26.386,664,0,0
2007-10-29,AAPL.NAS,26.529,26.656,26.386,26.442,454,0,0
2007-10-30,AAPL.NAS,26.59,27.053,26.39,26.714,1203,0,0
2007-10-31,AAPL.NAS,26.817,27.16,26.428,27.136,1146,0,0
2007-11-01,AAPL.NAS,26.943,27.157,26.657,26.777,835,0,0
2007-11-02,AAPL.NAS,27.021,27.063,26.214,26.838,1516,0,0
2007-11-05,AAPL.NAS,26.47,26.994,26.32,26.597,1222,0,0
2007-11-06,AAPL.NAS,26.721,27.427,26.472,27.398,1234,0,0
2007-11-07,AAPL.NAS,27.2,27.52,26.59,26.644,1305,0,0
2007-11-08,AAPL.NAS,26.646,26.7,23.969,25.095,3912,0,0
2007-11-09,AAPL.NAS,24.407,25.014,23.601,23.624,2044,0,0
2007-11-12,AAPL.NAS,23.571,23.957,21.52,21.965,3269,0,0
2007-11-13,AAPL.NAS,22.997,24.426,22.878,24.28,1814,0,0
2007-11-14,AAPL.NAS,25.361,25.367,23.392,23.73,2320,0,0
2007-11-15,AAPL.NAS,23.736,24.227,22.9,23.472,2391,0,0
2007-11-16,AAPL.NAS,23.641,23.855,22.762,23.77,2058,0,0
2007-11-19,AAPL.NAS,23.717,24.024,23.157,23.421,1439,0,0
2007-11-20,AAPL.NAS,23.7,24.541,23.361,24.121,1940,0,0
2007-11-21,AAPL.NAS,23.644,24.621,23.524,24.065,1774,0,0
2007-11-23,AAPL.NAS,24.571,24.578,24.25,24.505,591,0,0
2007-11-26,AAPL.NAS,24.84,25.321,24.623,24.647,1204,0,0
2007-11-27,AAPL.NAS,25.031,25.113,24.287,24.972,1594,0,0
2007-11-28,AAPL.NAS,25.286,25.8,25.05,25.746,1041,0,0
2007-11-29,AAPL.NAS,25.61,26.453,25.593,26.327,1004,0,0
2007-11-30,AAPL.NAS,26.79,26.814,25.671,26.031,1528,0,0
2007-12-03,AAPL.NAS,25.974,26.305,25.387,25.551,1414,0,0
2007-12-04,AAPL.NAS,25.299,25.843,25.286,25.688,726,0,0
2007-12-05,AAPL.NAS,26.143,26.572,26.059,26.5,670,0,0
2007-12-06,AAPL.NAS,26.601,27.143,26.588,27.143,569,0,0
2007-12-07,AAPL.NAS,27.22,27.856,26.863,27.757,1450,0,0
2007-12-10,AAPL.NAS,27.654,27.95,27.527,27.735,766,0,0
2007-12-11,AAPL.NAS,27.83,28.119,26.77,26.887,1756,0,0
2007-12-12,AAPL.NAS,27.643,27.783,26.539,27.266,2112,0,0
2007-12-13,AAPL.NAS,27.157,27.443,26.833,27.404,974,0,0
2007-12-14,AAPL.NAS,27.186,27.6,27.082,27.199,1024,0,0
2007-12-17,AAPL.NAS,27.246,27.52,26.14,26.343,1858,0,0
2007-12-18,AAPL.NAS,26.679,26.759,25.515,26.14,1950,0,0
2007-12-19,AAPL.NAS,26.156,26.376,25.843,26.16,1063,0,0
2007-12-20,AAPL.NAS,26.491,26.833,26.19,26.744,1034,0,0
2007-12-21,AAPL.NAS,27.146,27.701999999999998,27.127,27.701999999999998,595,0,0
2007-12-24,AAPL.NAS,27.857,28.476,27.826999999999998,28.4,756,0,0
2007-12-26,AAPL.NAS,28.43,28.709,28.117,28.421,1176,0,0
2007-12-27,AAPL.NAS,28.421,28.994,28.257,28.367,1421,0,0
2007-12-28,AAPL.NAS,28.649,28.792,28.127,28.547,1229,0,0
2007-12-31,AAPL.NAS,28.536,28.643,28.25,28.297,548,0,0
2008-01-02,AAPL.NAS,28.499,28.6,27.507,27.835,1523,0,0
2008-01-03,AAPL.NAS,27.927,28.199,27.533,27.853,1259,0,0
2008-01-04,AAPL.NAS,27.36,27.421,25.563,25.7,2057,0,0
2008-01-07,AAPL.NAS,25.893,26.229,24.319,25.377,3305,0,0
